sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
HN_0000,113.0123,29.5821,2019-05-21,Hunan,419.28,52.69,27.11,1004.51,119.0,46.37,-3.14,3.34,257.85,0.254,0.625,0.896,17.14,9.05,56.13,592.86
HN_0001,113.7359,25.7938,2019-05-27,Hunan,419.32,29.18,23.69,1018.26,146.83,59.25,-3.12,1.06,208.56,0.185,0.569,0.627,17.48,7.87,64.81,717.46
HN_0002,113.8234,26.1112,2019-05-11,Hunan,417.59,48.4,26.1,1016.3,124.08,50.95,6.02,-1.47,201.31,0.153,0.599,0.75,17.7,6.89,55.71,147.54
HN_0003,113.1872,29.7993,2019-05-14,Hunan,417.25,33.95,25.7,1023.47,127.39,48.4,-5.74,3.38,246.08,0.129,0.627,0.616,17.19,8.64,61.56,314.94
HN_0004,112.5538,25.5818,2019-05-15,Hunan,420.99,39.43,23.44,1011.98,140.69,54.42,-6.39,-1.99,228.06,0.153,0.523,0.807,12.28,9.03,59.91,982.11
HN_0005,111.2181,28.9804,2019-05-28,Hunan,413.98,39.87,24.75,1005.04,136.57,62.49,2.48,3.59,219.36,0.188,0.577,0.835,13.17,6.83,53.44,666.68
HN_0006,110.0898,28.6016,2019-05-24,Hunan,413.64,57.69,26.85,998.57,139.43,63.55,8.77,-0.9,204.31,0.1,0.598,0.641,12.99,9.96,53.2,284.78
HN_0007,109.1853,25.8857,2019-05-03,Hunan,419.03,64.04,25.25,1013.06,118.57,60.7,6.45,-1.76,208.76,0.156,0.451,0.702,17.27,8.82,64.73,602.31
HN_0008,113.1351,28.4213,2019-05-14,Hunan,418.66,69.18,23.48,1014.41,144.24,54.36,-5.99,0.36,241.34,0.144,0.528,0.959,14.57,6.45,50.78,429.55
HN_0009,108.8614,25.5993,2019-05-24,Hunan,418.68,27.59,25.65,1013.75,123.91,62.66,-5.99,2.13,242.74,0.186,0.613,0.674,16.11,9.18,60.33,134.06
HN_0010,109.426,26.5936,2019-05-08,Hunan,415.02,83.78,23.67,1002.81,135.56,60.46,3.85,4.2,204.48,0.277,0.487,0.916,17.11,7.56,58.13,771.71
HN_0011,112.575,25.0038,2019-05-21,Hunan,414.59,46.95,24.06,1008.67,128.92,50.38,6.38,5.45,214.12,0.174,0.639,0.608,17.32,9.94,54.16,133.71
HN_0012,110.1436,25.624,2019-05-01,Hunan,418.17,36.54,25.33,1008.64,145.3,48.84,5.85,2.72,258.04,0.297,0.48,0.97,14.03,7.96,63.33,430.97
HN_0013,112.5262,28.1629,2019-05-14,Hunan,414.21,35.67,22.53,1013.12,132.66,54.66,2.76,5.26,245.91,0.293,0.482,0.97,16.15,6.93,51.04,650.03
HN_0014,111.7105,29.958,2019-05-02,Hunan,413.44,27.64,24.75,1009.62,119.43,50.38,3.64,-5.98,203.96,0.176,0.608,0.763,17.83,9.71,50.26,898.71
HN_0015,112.7825,28.1131,2019-05-10,Hunan,418.05,72.18,23.56,1016.04,145.25,59.46,-0.62,5.46,216.25,0.241,0.53,0.616,17.27,9.38,50.52,78.94
HN_0016,112.069,25.3658,2019-05-03,Hunan,416.23,36.73,25.57,1017.7,134.35,59.11,-3.55,-4.0,231.96,0.244,0.491,0.792,15.25,9.17,64.24,669.28
HN_0017,113.5716,29.6496,2019-05-09,Hunan,417.99,30.18,24.03,1002.21,136.38,46.75,1.74,2.43,254.61,0.263,0.558,0.906,14.82,8.56,57.22,673.03
HN_0018,113.967,27.519,2019-05-09,Hunan,420.83,49.0,27.14,1002.88,128.37,55.03,-1.23,-2.22,207.27,0.21,0.612,0.896,14.81,9.55,61.09,414.42
HN_0019,113.6739,26.5611,2019-05-20,Hunan,415.66,50.5,24.92,1015.1,140.3,57.98,-0.11,2.08,244.34,0.231,0.507,0.664,13.13,8.43,62.22,689.7
HN_0020,112.149,25.7175,2019-05-30,Hunan,418.03,43.68,23.03,1005.35,124.33,53.19,8.39,2.58,240.95,0.101,0.621,0.948,15.17,6.18,56.91,183.94
HN_0021,109.4156,25.1423,2019-05-31,Hunan,419.21,36.56,23.72,1005.71,123.75,48.56,7.89,-4.8,203.95,0.207,0.59,0.661,16.67,9.83,62.71,302.8
HN_0022,109.9428,25.6872,2019-05-09,Hunan,417.12,28.81,27.2,1008.9,129.53,51.4,4.46,0.3,238.17,0.241,0.518,0.805,16.89,9.93,64.4,503.29
HN_0023,110.8192,27.3088,2019-05-28,Hunan,420.62,36.11,25.16,1008.79,111.34,56.6,6.0,-5.54,257.82,0.186,0.582,0.891,15.14,7.31,53.94,137.8
HN_0024,110.6241,25.644,2019-05-04,Hunan,416.07,71.08,26.67,1020.9,132.32,57.61,0.77,-3.79,240.43,0.261,0.471,0.68,12.68,9.8,58.47,729.94
HN_0025,112.3623,28.475,2019-05-08,Hunan,419.99,43.89,27.4,1004.19,149.48,45.34,6.08,4.27,253.65,0.25,0.594,0.963,14.39,8.96,61.74,70.96
