sample_id,lon,lat,date,province,XCO2,NTL,TEM,SP,PRE,ET,UW,VW,DSR,AOD,NDVI,CO,NO2,SO2,O3,DEM
1,114.31,30.59,2019-01,湖北,418.72,68.23,4.2,1018.5,32.6,12.1,2.1,-1.3,85.2,0.32,0.21,0.032,0.00012,0.00008,0.0082,23
2,112.98,28.21,2019-01,湖南,417.56,45.17,5.8,1016.3,45.3,15.7,1.8,-0.9,92.5,0.28,0.25,0.028,0.00009,0.00006,0.0079,58
3,117.28,31.86,2019-01,安徽,416.89,32.45,3.5,1020.1,28.9,10.3,2.5,-1.7,78.6,0.35,0.18,0.025,0.00007,0.00005,0.0085,12
4,115.89,28.68,2019-01,江西,417.12,38.72,6.2,1015.7,52.1,16.8,1.5,-0.6,95.8,0.26,0.27,0.027,0.00008,0.00006,0.0077,45
5,114.31,30.59,2019-04,湖北,415.34,67.89,18.5,1012.2,128.7,45.2,3.2,0.8,215.6,0.41,0.52,0.021,0.00008,0.00004,0.0091,23
6,112.98,28.21,2019-04,湖南,414.21,44.83,19.8,1010.5,156.3,52.7,2.9,0.5,228.3,0.37,0.58,0.019,0.00006,0.00003,0.0088,58
7,117.28,31.86,2019-04,安徽,413.67,31.98,17.2,1013.8,112.5,41.3,3.6,1.1,208.9,0.45,0.48,0.017,0.00005,0.00003,0.0094,12
8,115.89,28.68,2019-04,江西,413.95,38.36,20.5,1009.8,168.9,56.4,2.6,0.3,235.2,0.34,0.61,0.018,0.00006,0.00003,0.0086,45
9,114.31,30.59,2019-07,湖北,410.87,66.54,29.3,1005.7,285.6,98.5,2.8,1.5,289.3,0.52,0.78,0.015,0.00005,0.00002,0.0097,23
10,112.98,28.21,2019-07,湖南,409.63,43.92,30.1,1004.2,312.4,105.3,2.5,1.2,298.7,0.48,0.82,0.013,0.00004,0.00002,0.0094,58
11,117.28,31.86,2019-07,安徽,409.12,31.25,28.7,1006.8,268.9,92.7,3.1,1.8,281.5,0.56,0.75,0.012,0.00004,0.00002,0.0099,12
12,115.89,28.68,2019-07,江西,409.38,37.68,30.8,1003.5,335.2,112.6,2.3,1.0,305.4,0.45,0.85,0.013,0.00004,0.00002,0.0092,45
13,114.31,30.59,2019-10,湖北,414.25,67.12,17.6,1014.3,89.5,38.7,2.4,-0.5,168.2,0.38,0.55,0.022,0.00009,0.00005,0.0088,23
14,112.98,28.21,2019-10,湖南,413.17,44.37,18.9,1012.6,102.3,43.2,2.1,-0.3,175.6,0.34,0.59,0.020,0.00007,0.00004,0.0085,58
15,117.28,31.86,2019-10,安徽,412.63,31.62,16.3,1015.9,76.8,34.5,2.7,-0.8,161.5,0.42,0.51,0.018,0.00006,0.00004,0.0091,12
16,115.89,28.68,2019-10,江西,412.89,37.95,19.5,1011.9,115.7,46.8,1.9,-0.2,182.3,0.32,0.62,0.019,0.00007,0.00004,0.0083,45
17,114.31,30.59,2020-01,湖北,416.98,65.78,3.8,1019.2,29.7,11.5,2.3,-1.5,82.6,0.30,0.20,0.028,0.00010,0.00006,0.0084,23
18,112.98,28.21,2020-01,湖南,415.82,43.56,5.4,1017.1,41.2,14.8,2.0,-1.1,89.3,0.26,0.24,0.025,0.00008,0.00005,0.0081,58
19,117.28,31.86,2020-01,安徽,415.15,30.87,3.1,1020.8,26.3,9.7,2.7,-1.9,76.2,0.33,0.17,0.022,0.00006,0.00004,0.0087,12
20,115.89,28.68,2020-01,江西,415.38,37.21,5.8,1016.4,48.5,15.9,1.7,-0.8,92.5,0.24,0.26,0.024,0.00007,0.00005,0.0079,45
21,114.31,30.59,2020-04,湖北,413.56,66.23,17.9,1013.5,115.2,42.8,3.0,0.6,208.7,0.39,0.49,0.019,0.00007,0.00003,0.0093,23
22,112.98,28.21,2020-04,湖南,412.43,43.17,19.2,1011.8,142.7,49.3,2.7,0.3,221.3,0.35,0.55,0.017,0.00005,0.00003,0.0090,58
23,117.28,31.86,2020-04,安徽,411.89,30.45,16.6,1015.1,99.5,38.9,3.4,0.9,202.1,0.43,0.45,0.015,0.00004,0.00002,0.0096,12
24,115.89,28.68,2020-04,江西,412.15,36.82,19.9,1011.1,155.3,53.1,2.4,0.1,228.2,0.32,0.58,0.016,0.00005,0.00002,0.0088,45
25,114.31,30.59,2020-07,湖北,409.23,65.12,28.7,1006.9,268.5,94.2,2.6,1.3,282.6,0.50,0.75,0.013,0.00004,0.00002,0.0099,23
26,112.98,28.21,2020-07,湖南,408.09,42.56,29.5,1005.4,295.3,101.7,2.3,1.0,292.1,0.46,0.79,0.011,0.00003,0.00001,0.0096,58
27,117.28,31.86,2020-07,安徽,407.58,29.87,28.1,1008.0,251.8,88.4,2.9,1.6,274.8,0.54,0.72,0.010,0.00003,0.00001,0.0101,12
28,115.89,28.68,2020-07,江西,407.84,36.25,30.2,1004.7,318.1,108.9,2.1,0.8,298.7,0.43,0.82,0.011,0.00003,0.00001,0.0094,45
29,114.31,30.59,2020-10,湖北,413.12,65.78,16.9,1015.6,76.3,35.4,2.2,-0.7,161.5,0.36,0.52,0.020,0.00008,0.00004,0.0090,23
30,112.98,28.21,2020-10,湖南,412.04,42.93,18.2,1013.9,89.1,39.9,1.9,-0.5,168.9,0.32,0.56,0.018,0.00006,0.00003,0.0087,58
31,117.28,31.86,2020-10,安徽,411.51,30.25,15.6,1017.2,63.6,31.2,2.5,-1.0,154.8,0.40,0.48,0.016,0.00005,0.00003,0.0093,12
32,115.89,28.68,2020-10,江西,411.77,36.62,18.8,1013.2,102.5,43.5,1.7,-0.4,175.6,0.30,0.59,0.017,0.00006,0.00003,0.0085,45
33,114.31,30.59,2021-01,湖北,419.34,68.92,3.5,1020.1,26.8,10.8,2.5,-1.7,79.3,0.34,0.19,0.030,0.00011,0.00007,0.0086,23
34,112.98,28.21,2021-01,湖南,418.18,45.83,5.1,1017.9,38.5,14.2,2.2,-1.3,86.7,0.30,0.23,0.026,0.00009,0.00006,0.0083,58
35,117.28,31.86,2021-01,安徽,417.51,33.12,2.8,1021.7,23.5,9.0,2.9,-2.1,72.9,0.37,0.16,0.023,0.00007,0.00005,0.0089,12
36,115.89,28.68,2021-01,江西,417.74,39.36,5.5,1017.2,45.2,15.3,1.9,-1.0,89.8,0.28,0.25,0.025,0.00008,0.00005,0.0081,45
37,114.31,30.59,2021-04,湖北,416.12,68.45,18.2,1012.9,121.5,43.9,3.4,0.9,212.3,0.43,0.54,0.022,0.00009,0.00004,0.0095,23
38,112.98,28.21,2021-04,湖南,414.98,45.37,19.5,1011.2,148.9,51.4,3.1,0.6,225.1,0.39,0.60,0.020,0.00007,0.00003,0.0092,58
39,117.28,31.86,2021-04,安徽,414.45,32.68,16.9,1014.5,105.3,40.0,3.8,1.2,205.6,0.47,0.50,0.018,0.00006,0.00003,0.0098,12
40,115.89,28.68,2021-04,江西,414.71,39.02,20.2,1010.5,161.7,55.1,2.8,0.4,232.1,0.36,0.63,0.019,0.00007,0.00003,0.0090,45
41,114.31,30.59,2021-07,湖北,411.67,67.12,29.7,1006.3,292.4,101.8,3.0,1.6,292.7,0.54,0.80,0.016,0.00006,0.00002,0.0101,23
42,112.98,28.21,2021-07,湖南,410.43,44.56,30.5,1004.8,319.2,108.6,2.7,1.3,302.3,0.50,0.84,0.014,0.00005,0.00002,0.0098,58
43,117.28,31.86,2021-07,安徽,409.92,31.98,29.1,1007.4,275.7,96.1,3.3,1.9,285.2,0.58,0.77,0.013,0.00004,0.00002,0.0103,12
44,115.89,28.68,2021-07,江西,410.18,38.36,31.2,1004.1,342.1,115.8,2.5,1.1,309.1,0.47,0.87,0.014,0.00005,0.00002,0.0096,45
45,114.31,30.59,2021-10,湖北,415.56,67.78,17.3,1014.9,82.7,37.1,2.6,-0.9,165.2,0.40,0.57,0.023,0.00010,0.00005,0.0092,23
46,112.98,28.21,2021-10,湖南,414.48,44.93,18.6,1013.2,95.5,41.6,2.3,-0.7,172.6,0.36,0.61,0.021,0.00008,0.00004,0.0089,58
47,117.28,31.86,2021-10,安徽,413.95,32.25,16.0,1016.5,69.9,32.9,2.9,-1.2,158.5,0.44,0.53,0.019,0.00007,0.00004,0.0095,12
48,115.89,28.68,2021-10,江西,414.21,38.62,19.2,1012.5,108.9,45.2,2.1,-0.6,179.3,0.34,0.64,0.020,0.00008,0.00004,0.0087,45
49,114.31,30.59,2022-01,湖北,420.12,69.54,3.2,1020.8,23.9,10.1,2.7,-1.9,76.2,0.36,0.18,0.031,0.00013,0.00008,0.0088,23
50,112.98,28.21,2022-01,湖南,418.96,46.45,4.8,1018.6,35.7,13.5,2.4,-1.5,83.6,0.32,0.22,0.027,0.00010,0.00007,0.0085,58
51,117.28,31.86,2022-01,安徽,418.29,33.78,2.5,1022.4,20.6,8.3,3.1,-2.3,69.8,0.39,0.15,0.024,0.00008,0.00006,0.0091,12
52,115.89,28.68,2022-01,江西,418.52,40.03,5.2,1017.9,42.4,14.6,2.1,-1.2,86.7,0.30,0.24,0.026,0.00009,0.00006,0.0083,45
53,114.31,30.59,2022-04,湖北,416.89,69.07,17.9,1013.6,114.8,42.6,3.6,1.0,209.1,0.45,0.56,0.023,0.00010,0.00005,0.0097,23
54,112.98,28.21,2022-04,湖南,415.75,45.99,19.2,1011.9,142.2,50.1,3.3,0.7,221.9,0.41,0.62,0.021,0.00008,0.00004,0.0094,58
55,117.28,31.86,2022-04,安徽,415.22,33.31,16.6,1015.2,98.6,38.7,4.0,1.3,202.4,0.49,0.52,0.019,0.00007,0.00004,0.0100,12
56,115.89,28.68,2022-04,江西,415.48,39.65,19.9,1011.2,155.0,53.8,3.0,0.5,228.9,0.38,0.65,0.020,0.00008,0.00004,0.0092,45
