feature,permutation,gradient,shap,average
NTL,0.152,0.145,0.16,0.15233333333333332
TEM,0.128,0.132,0.145,0.135
AOD,0.105,0.112,0.108,0.10833333333333334
NDVI,0.098,0.105,0.102,0.10166666666666667
DSR,0.089,0.095,0.092,0.09200000000000001
SP,0.085,0.078,0.082,0.08166666666666667
ET,0.068,0.072,0.075,0.07166666666666667
PRE,0.072,0.065,0.068,0.06833333333333334
DEM,0.063,0.05,0.058,0.057
VW,0.045,0.052,0.05,0.04900000000000001
UW,0.052,0.048,0.045,0.04833333333333334
O3,0.038,0.041,0.04,0.03966666666666666
CO,0.042,0.038,0.035,0.03833333333333334
NO2,0.035,0.042,0.038,0.03833333333333334
SO2,0.028,0.035,0.03,0.031
